#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
mesoamerican;Mesoamerican;m�so-am�ricain;Mesoamerikanisch;;Mesoamericano;;;;;;;;;x
nahuatl;Nahua;nahua;Nahua;;Nahua;;;;;;;;;x
aztec;Aztec;azt�que;Aztekisch;;Aztec;;;;;;;;;x
e_mexikha;Aztec Empire;Empire azt�que;Aztekenreich;;Aztec Empire;;;;;;;;;x
e_mexikha_adj;Aztec;azt�que;Aztekisch;;Aztec;;;;;;;;;x
emperor_nahuatl;Huetlatoani;Huetlatoani;Huetlatoani;;Huetlatoani;;;;;;;;;x
emperor_female_nahuatl;Huetlatoani;Huetlatoani;Huetlatoani;;Huetlatoani;;;;;;;;;x
king_nahuatl;Tlatoani;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
king_female_nahuatl;Tlatoani;Tlatoani;Tlatoani;;Tlatoani;;;;;;;;;x
duke_nahuatl;Huecalpixqui;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
duke_female_nahuatl;Huecalpixqui;Huecalpixqui;Huecalpixqui;;Huecalpixqui;;;;;;;;;x
count_nahuatl;Calpixqui;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
count_female_nahuatl;Calpixqui;Calpixqui;Calpixqui;;Calpixqui;;;;;;;;;x
baron_nahuatl;Teuctli;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
baron_female_nahuatl;Teuctli;Teuhtli;Teuctli;;Teuctli;;;;;;;;;x
GOD_HUITZILOPOCHTLI;Huitzilopochtli;Huitzilopochtli;Huitzilopochtli;;Huitzilopochtli;;;;;;;;;x
GOD_XIPE_TOTEC;Xipe-Totec;Xipe Totec;Xipe-Totec;;Xipe-Totec;;;;;;;;;x
GOD_TEZCATLIPOCA;Tezcatlipoca;Tezcatlipoca;Tezcatlipoca;;Tezcatlipoca;;;;;;;;;x
GOD_QUETZALCOATL;Quetzalcoatl;Quetzalcoatl;Quetzalcoatl;;Quetzalcoatl;;;;;;;;;x
GOD_MICTLANTECUHTLI;Mictlantecuhtli;Mictlantecuhtli;Mictlantecuhtli;;Mictlantecuhtli;;;;;;;;;x
GOD_TLALOC;Tlaloc;Tlaloc;Tlaloc;;Tlaloc;;;;;;;;;x
job_chancellor_aztec;Cihuacoatl;Cihuacoatl;Cihuacoatl;;Cihuacoatl;;;;;;;;;x
job_marshal_aztec;Tlacateccatl;Tlacateccatl;Tlacateccatl;;Tlacateccatl;;;;;;;;;x
